dataset,conf_num,reg_type,weight_type,alpha,use_layer_norm,use_aug,lr,batch_size,train_full_score,train_partial_score,val_full_score,val_partial_score,train_partial_scores_mean,val_partial_scores_mean,full_score,partial_scores_mean,diff_full_partial
Accent,980,var,loss,0.5,False,False,0.001,64,0.6285714507102966,0.615 +- 0.017,0.6603773832321167,0.643 +- 0.02,0.615,0.643,0.6285714507102966,0.615,0.01357145071029664
Accent,242,l1,mult,0.5,True,True,0.001,64,0.6355311274528503,0.614 +- 0.018,0.698113203048706,0.692 +- 0.009,0.614,0.692,0.6355311274528503,0.614,0.02153112745285035
Accent,874,var,None,0.0,True,False,0.01,64,0.6238095164299011,0.613 +- 0.018,0.6792452931404114,0.667 +- 0.022,0.613,0.667,0.6238095164299011,0.613,0.010809516429901134
Accent,251,l1,mult,0.5,True,False,0.1,32,0.6190476417541504,0.612 +- 0.009,0.698113203048706,0.689 +- 0.02,0.612,0.689,0.6190476417541504,0.612,0.007047641754150402
Accent,1123,var,mult,0.5,False,False,0.001,32,0.6285714507102966,0.612 +- 0.017,0.7169811129570007,0.703 +- 0.025,0.612,0.703,0.6285714507102966,0.612,0.016571450710296642
Accent,158,l1,avg,0.0,False,True,0.001,64,0.6256410479545593,0.611 +- 0.012,0.6792452931404114,0.665 +- 0.014,0.611,0.665,0.6256410479545593,0.611,0.014641047954559339
Accent,49,l1,None,1.0,True,True,0.001,32,0.6285714507102966,0.611 +- 0.013,0.6792452931404114,0.67 +- 0.016,0.611,0.67,0.6285714507102966,0.611,0.017571450710296643
Accent,195,l1,avg,1.0,True,True,0.01,32,0.6135531067848206,0.61 +- 0.003,0.6792452931404114,0.678 +- 0.005,0.61,0.678,0.6135531067848206,0.61,0.00355310678482057
Accent,133,l1,loss,1.0,False,True,0.001,32,0.6139194369316101,0.61 +- 0.003,0.6792452931404114,0.671 +- 0.012,0.61,0.671,0.6139194369316101,0.61,0.003919436931610121
Accent,179,l1,avg,0.5,True,False,0.1,32,0.6142857074737549,0.61 +- 0.004,0.6792452931404114,0.676 +- 0.007,0.61,0.676,0.6142857074737549,0.61,0.004285707473754896
Accent,83,l1,loss,0.0,True,False,0.1,32,0.6333333253860474,0.61 +- 0.025,0.6415094137191772,0.649 +- 0.016,0.61,0.649,0.6333333253860474,0.61,0.023333325386047377
Accent,245,l1,mult,0.5,True,True,0.1,32,0.6164835095405579,0.609 +- 0.004,0.698113203048706,0.681 +- 0.012,0.609,0.681,0.6164835095405579,0.609,0.0074835095405578755
Accent,1025,var,avg,0.0,False,True,0.1,32,0.6285714507102966,0.609 +- 0.014,0.7358490824699402,0.734 +- 0.016,0.609,0.734,0.6285714507102966,0.609,0.019571450710296645
Accent,58,l1,None,1.0,True,False,0.01,64,0.6190476417541504,0.608 +- 0.014,0.6792452931404114,0.665 +- 0.014,0.608,0.665,0.6190476417541504,0.608,0.011047641754150406
Accent,272,l1,mult,1.0,True,False,0.001,64,0.6238095164299011,0.608 +- 0.012,0.6603773832321167,0.653 +- 0.016,0.608,0.653,0.6238095164299011,0.608,0.015809516429901138
Accent,193,l1,avg,1.0,True,True,0.001,32,0.6135531067848206,0.607 +- 0.004,0.6792452931404114,0.671 +- 0.012,0.607,0.671,0.6135531067848206,0.607,0.006553106784820573
Accent,104,l1,loss,0.5,True,False,0.001,64,0.6190476417541504,0.607 +- 0.012,0.698113203048706,0.679 +- 0.019,0.607,0.679,0.6190476417541504,0.607,0.012047641754150407
